
iteration,x,y,theta
620,-1076.853638,-718.397095,-4.514883
621,-1076.853638,-718.397095,-4.514883
622,-1076.853638,-718.397095,-4.514883
623,-1076.853638,-718.397095,-4.514883
624,-1076.853638,-718.397095,-4.514883
625,-1076.853638,-718.397095,-4.514883
626,-1076.853638,-718.397095,-4.514883
627,-1076.853638,-718.397095,-4.514883
628,-1076.853638,-718.397095,-4.514883
629,-1076.853638,-718.397095,-4.514883
630,-1076.853638,-718.397095,-4.514883
631,-1076.853638,-718.397095,-4.514883
632,-1076.853638,-718.397095,-4.514883
633,-1076.853638,-718.397095,-4.514883
634,-1076.853638,-718.397095,-4.514883
635,-1076.853638,-718.397095,-4.514883
636,-1076.853638,-718.397095,-4.514883
637,-1076.853638,-718.397095,-4.514883
638,-1076.853638,-718.397095,-4.514883
639,-1076.853638,-718.397095,-4.514883
640,-1076.853638,-718.397095,-4.514883
641,-1076.853638,-718.397095,-4.514883
642,-1076.853638,-718.397095,-4.514883
643,-1076.853638,-718.397095,-4.514883
644,-1076.853638,-718.397095,-4.514883
645,-1076.853638,-718.397095,-4.514883
646,-1076.853638,-718.397095,-4.514883
647,-1076.853638,-718.397095,-4.514883
648,-1076.853638,-718.397095,-4.514883
649,-1076.853638,-718.397095,-4.514883
650,-1076.853638,-718.397095,-4.514883
651,-1076.853638,-718.397095,-4.514883
652,-1076.853638,-718.397095,-4.514883
653,-1076.853638,-718.397095,-4.514883
654,-1076.853638,-718.397095,-4.514883
655,-1076.853638,-718.397095,-4.514883
656,-1076.853638,-718.397095,-4.514883
657,-1076.853638,-718.397095,-4.514883
658,-1076.853638,-718.397095,-4.514883
659,-1076.853638,-718.397095,-4.514883
660,-1076.853638,-718.397095,-4.514883
661,-1076.853638,-718.397095,-4.514883
